Zephyr Sprite	M10	2013-12-19 09:03:09	3
Drake Umbra	ROE	2013-12-19 09:03:28	1
Traitorous Blood	ISD	2013-12-19 09:03:39	1
Zealous Conscripts	AVR	2013-12-19 09:03:51	1
Nightshade Peddler	AVR	2013-12-19 09:04:03	1
Fencing Ace	RTR	2013-12-19 09:06:45	1
Encroaching Wastes	M14	2013-12-19 09:07:20	1
Phalanx Leader	THS	2013-12-19 09:07:32	2
Warriors' Lesson	THS	2013-12-19 09:08:04	2
Zephyr Sprite	M10	2013-12-19 18:31:38	1
Hundred-Talon Kami	CHK	2013-12-19 18:32:05	1
Phyrexian Delver	INV	2014-01-08 19:16:30	1
Havengul Vampire	AVR	2014-01-08 19:16:46	1
Favored Hoplite	THS	2014-01-08 19:17:05	3
Magma Jet	THS	2014-01-08 19:17:22	1
Goblin Shrine	DRK	2014-01-11 15:05:45	1
Gaseous Form	TMP	2014-01-11 15:06:01	1
Seething Anger	STH	2014-01-11 15:06:23	1
Launch	USG	2014-01-11 15:06:54	1
Wings of Hope	INV	2014-01-11 15:08:21	1
Rush of Knowledge	SCG	2014-01-11 15:08:34	1
Temporal Fissure	SCG	2014-01-11 15:08:50	1
Research the Deep	MOR	2014-01-11 15:09:57	1
Architects of Will	ARB	2014-01-11 15:10:08	1
Merfolk Skyscout	ROE	2014-01-11 15:10:20	1
Rally the Peasants	ISD	2014-01-11 15:10:33	1
Latch Seeker	AVR	2014-01-11 15:10:44	1
Cloudfin Raptor	GTC	2014-01-11 15:10:58	1
Burst of Strength	GTC	2014-01-11 15:11:12	3
Mutant's Prey	DGM	2014-01-11 15:11:30	2
Phalanx Leader	THS	2014-01-11 15:11:46	1
Mogis's Marauder	THS	2014-01-11 15:12:02	2
Ordeal of Thassa	THS	2014-01-11 15:12:17	2
Dissolve	THS	2014-01-11 15:12:29	2
Warriors' Lesson	THS	2014-01-11 15:13:35	1
Nature's Blessing	ALL	2014-02-02 20:41:12	1
Necropolis	DRK	2014-02-02 20:41:26	1
Choking Sands	MIR	2014-02-02 20:42:34	1
Mogg Conscripts	TMP	2014-02-02 20:42:45	1
Pallimud	TMP	2014-02-02 20:42:58	1
Death Stroke	STH	2014-02-02 20:43:37	1
Angelic Page	USG	2014-02-02 20:43:55	1
Scent of Brine	UDS	2014-02-02 20:44:10	1
Briar Patch	MMQ	2014-02-02 20:44:46	1
Rackling	NEM	2014-02-02 20:44:56	1
Tranquil Path	APC	2014-02-02 20:45:11	1
Sonic Seizure	TOR	2014-02-02 20:45:31	1
Awe Strike	MRD	2014-02-02 20:46:07	1
Golgari Signet	RAV	2014-02-02 20:48:13	1
Wit's End	DIS	2014-02-02 20:48:30	1
Ophidian Eye	TSP	2014-02-02 20:48:49	1
Aether Web	TSP	2014-02-02 20:49:00	1
Wings of Velis Vel	LRW	2014-02-02 20:49:11	1
Man-o'-War	DD2	2014-02-02 20:49:27	1
Drastic Revelation	ARB	2014-02-02 20:50:19	1
Smite	ROE	2014-02-02 20:50:30	1
Consuming Vapors	ROE	2014-02-02 20:50:44	1
Necrotic Ooze	SOM	2014-02-02 20:50:59	1
Ichor Explosion	NPH	2014-02-02 20:51:11	1
Instigator Gang	ISD	2014-02-02 20:51:26	1
Wildblood Pack	ISD	2014-02-02 20:51:26	1
Cloudfin Raptor	GTC	2014-02-02 20:51:56	2
Elusive Krasis	GTC	2014-02-02 20:52:09	1
Gift of Orzhova	GTC	2014-02-02 20:52:37	1
Sanctum Gargoyle	MMA	2014-02-02 20:52:49	1
Dawnstrike Paladin	M14	2014-02-02 20:53:02	1
Dragon Egg	M14	2014-02-02 20:53:21	1
Evangel of Heliod	THS	2014-02-02 20:53:39	1
Triton Tactics	THS	2014-02-02 20:54:08	1
Dissolve	THS	2014-02-02 20:54:18	1
Loyal Pegasus	BNG	2014-02-07 22:25:47	4
Nyxborn Shieldmate	BNG	2014-02-07 22:25:58	3
Akroan Skyguard	BNG	2014-02-07 22:26:09	4
God-Favored General	BNG	2014-02-07 22:26:22	1
Oreskos Sun Guide	BNG	2014-02-07 22:26:31	2
Spirit of the Labyrinth	BNG	2014-02-07 22:26:38	1
Elite Skirmisher	BNG	2014-02-07 22:26:50	4
Ghostblade Eidolon	BNG	2014-02-07 22:26:58	2
Archetype of Courage	BNG	2014-02-07 22:27:04	1
Eidolon of Countless Battles	BNG	2014-02-07 22:27:10	1
Akroan Phalanx	BNG	2014-02-07 22:27:17	2
Great Hart	BNG	2014-02-07 22:28:30	2
Griffin Dreamfinder	BNG	2014-02-07 22:28:40	4
Ornitharch	BNG	2014-02-07 22:28:56	1
Vortex Elemental	BNG	2014-02-07 22:34:59	1
Deepwater Hypnotist	BNG	2014-02-07 22:35:10	4
Flitterstep Eidolon	BNG	2014-02-07 22:35:32	1
Meletis Astronomer	BNG	2014-02-07 22:35:42	1
Nyxborn Triton	BNG	2014-02-07 22:35:54	4
Aerie Worshippers	BNG	2014-02-07 22:36:14	1
Chorus of the Tides	BNG	2014-02-07 22:36:23	2
Floodtide Serpent	BNG	2014-02-07 22:36:32	4
Sphinx's Disciple	BNG	2014-02-07 22:36:53	4
Archetype of Imagination	BNG	2014-02-07 22:37:05	2
Kraken of the Straits	BNG	2014-02-07 22:37:15	1
Tromokratis	BNG	2014-02-07 22:37:22	1
Felhide Brawler	BNG	2014-02-07 22:37:30	4
Nyxborn Eidolon	BNG	2014-02-07 22:37:45	3
Spiteful Returned	BNG	2014-02-07 22:37:52	1
Ashiok's Adept	BNG	2014-02-07 22:37:59	1
Black Oak of Odunos	BNG	2014-02-07 22:38:29	1
Servant of Tymaret	BNG	2014-02-07 22:38:38	3
Fate Unraveler	BNG	2014-02-07 22:38:45	1
Forlorn Pseudamma	BNG	2014-02-07 22:39:08	1
Forsaken Drifters	BNG	2014-02-07 22:39:19	2
Shrike Harpy	BNG	2014-02-07 22:39:31	1
Warchanter of Mogis	BNG	2014-02-07 22:39:39	3
Archetype of Finality	BNG	2014-02-07 22:39:56	2
Marshmist Titan	BNG	2014-02-07 22:40:35	4
Nyxborn Rollicker	BNG	2014-02-07 22:40:46	4
Impetuous Sunchaser	BNG	2014-02-07 22:40:58	4
Reckless Reveler	BNG	2014-02-07 22:41:12	4
Satyr Firedancer	BNG	2014-02-07 22:41:20	1
Kragma Butcher	BNG	2014-02-07 22:41:30	4
Satyr Nyx-Smith	BNG	2014-02-07 22:41:41	1
Archetype of Aggression	BNG	2014-02-07 22:41:51	1
Felhide Spiritbinder	BNG	2014-02-07 22:42:00	1
Cyclops of One-Eyed Pass	BNG	2014-02-07 22:42:16	4
Flame-Wreathed Phoenix	BNG	2014-02-07 22:42:29	1
Pharagax Giant	BNG	2014-02-07 22:42:40	3
Thunder Brute	BNG	2014-02-07 22:43:00	1
Charging Badger	BNG	2014-02-07 22:43:09	2
Satyr Wayfinder	BNG	2014-02-07 22:43:23	3
Swordwise Centaur	BNG	2014-02-07 22:43:36	3
Noble Quarry	BNG	2014-02-07 22:43:44	1
Swordwise Centaur	BNG	2014-02-07 22:44:06	1
Nyxborn Wolf	BNG	2014-02-07 22:44:16	4
Setessan Oathsworn	BNG	2014-02-07 22:44:41	3
Graverobber Spider	BNG	2014-02-07 22:45:47	1
Pheres-Band Tromper	BNG	2014-02-07 22:45:58	4
Setessan Starbreaker	BNG	2014-02-07 22:47:42	4
Snake of the Golden Grove	BNG	2014-02-07 22:48:18	4
Nessian Demolok	BNG	2014-02-07 22:48:46	1
Pheres-Band Raiders	BNG	2014-02-07 22:49:03	1
Nessian Wilds Ravager	BNG	2014-02-07 22:49:37	1
Archetype of Endurance	BNG	2014-02-07 22:50:08	1
Ephara, God of the Polis	BNG	2014-02-07 22:50:42	1
Ragemonger	BNG	2014-02-07 22:50:49	1
Mogis, God of Slaughter	BNG	2014-02-07 22:50:58	1
Fanatic of Xenagos	BNG	2014-02-07 22:51:06	2
Kiora's Follower	BNG	2014-02-07 22:51:25	1
Pillar of War	BNG	2014-02-07 22:51:31	1
Ephara's Radiance	BNG	2014-02-07 22:54:04	3
Mortal's Ardor	BNG	2014-02-07 22:54:28	3
Acolyte's Reward	BNG	2014-02-07 22:54:36	1
Hold at Bay	BNG	2014-02-07 22:55:32	4
Revoke Existence	BNG	2014-02-07 22:55:41	3
Excoriate	BNG	2014-02-07 22:55:50	2
Dawn to Dusk	BNG	2014-02-07 22:55:56	1
Plea for Guidance	BNG	2014-02-07 22:56:04	1
Glimpse the Sun God	BNG	2014-02-07 22:56:11	1
Evanescent Intellect	BNG	2014-02-07 22:56:40	5
Retraction Helix	BNG	2014-02-07 22:56:50	2
Crypsis	BNG	2014-02-07 22:56:58	6
Stratus Walk	BNG	2014-02-07 22:57:44	4
Thassa's Rebuff	BNG	2014-02-07 22:57:54	2
Nullify	BNG	2014-02-07 22:58:01	4
